companyName,description,countryOfCompany,categoryOfCompany,email,
Quadribot,,France,,,
Qualcomm,,United States of America,,,
Qualcomm,,United States of America,,,
Quanergy,,United States of America,,,
Quantcast Corporation,"Quantcast is an audience intelligence company headquartered in San Francisco. Combining AI and machine learning with 1st party unique consent-based data, Quantcast provides software, measurements and advertising services for marketers, publishers and advertising agencies worldwide.",United States,Marketing and Advertising,support@quantcast.com,
Quantum Corporation,"Quantum provides in-vehicle ruggedized data storage, and industry-leading data center solutions, to help Autonomous vehicle customers capture, ingest, manage, & store huge volumes of data in a manner that is powerful, flexible, and cost-effective.",United States,,info@quantum.com,
Quantum Operation Inc.,"A Tokyo-based healthcare IoT startup, will present the world’s first noninvasive glucose monitor that is capable of truly continuous measurement. The company’s patented spectrum sensing technology enables the monitoring sensor to accurately measure glucose in a person’s bloodstream through the skin while being worn around their wrist",Japan,,info1@quantum-op.co.jp,
Qudi,We design and create wearable products that animate your emotions!,Ukraine,"Accessories,Entertainment and Content",mike@qudi.sapce,
"Quectel Wireless Solutions Co., Ltd.","Quectel is a global supplier of cellular IoT modules and antennas: we exist to connect devices and people to networks and services, powering digital innovation and helping to build a smarter world. Our products help make life more convenient, efficient, comfortable, prosperous and secure.",China,,,
QuEST Global,"QuEST Global is at the forefront of the convergence of the mechanical, electronics, software & digital engineering innovations and with its deep domain knowledge and digital expertise QuEST aims to help its clients accelerate product development and innovation cycles, create alternate revenue streams, enhance consumer experience.",United States,,,
pmdtechnologies ag,"pmdtechnologies ag is the inventor, pioneer and world-leading supplier of 3D time-of-flight (ToF) CMOS-based digital imaging technology for applications in the consumer, automotive, and industrial markets. We offer an all-inclusive solution that bundles our patented ToF technology and end-to-end system-level hardware & software expertise.",Germany,,info@pmdtec.com,
Pod Group,"Specialists in complete connectivity solutions for IoT applications with over 20 years’ experience, offices worldwide and access to 600+ networks in 185 countries. Pod Group provides global multi-network, multi-IMSI, eUICC, LPWAN and private networking (pLTE) connectivity solutions with special focus on IoT solutions for enterprise.",United States,,sales@podgroup.com,
PolyExplore Inc.,,United States of America,,,
pop inc.,,Japan,,,
Popl,,United States of America,,,
POSTECH,,South Korea,,,
Power Electronics,,United States of America,,,
Powercast Corporation,"Powercast is the established leader in RF wireless power. Since its founding in 2003, Powercast has led the industry in RF wireless power innovations and applications that meet FCC and other global standards. Powercast’s wireless power technologies eliminate or reduce the need for wires and batteries, working at distances up to 80 feet.",United States,"Energy/Power,Home Office Hardware and Accessories,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances",contact@powercastco.com,
PowerFilm Solar,,United States of America,,,
PreAct Technologies,"Making Your Car the Safest Place on the Road.

At PreAct, we’ve built technology that can prevent over 85% of injuries and fatalities from car crashes by detecting these crashes before they happen and taking action during those precious milliseconds.",United States of America,"IoT/Sensors,Robotics,Vehicle Tech",info@preact-tech.com,
PRECI-DIP,,Switzerland,"Fitness and Wearables,IoT/Sensors,Mobile Hardware and Accessories,Robotics,Smart Home and Appliances",,
Premier Accessory Group,,United States of America,,,
"Ningbo SKL International Co., Ltd.",,China,,,
"Ningbo SKL International Co., Ltd.",,China,,,
Ningbo Zhilink Electronic Technology,,United States,"Home Entertainment Hardware,Smart Home and Appliances",noah@thechefrobot.com,
NodeTalks Corp.,,South Korea,,,
Nodeus Solutions,,France,,,
Nordic Semiconductor,"Nordic is a fabless semiconductor company specializing in wireless technology that powers the IoT. Our award-winning Bluetooth Low Energy solutions have made us market leader, and are complemented by ANT+, Thread, and Zigbee products. With the introduction of LTE-M and NB-IoT, we bring low-power IoT solutions into the cellular world.",Norway,"Audio Technologies,AR/VR/XR,Fitness and Wearables,IoT/Sensors,Smart Home and Appliances",,
North Carolina Startup Pavilion,,United States of America,,,
NOTA Incorporated,Nota develops an AI software optimization platform so that the beneficent influences of AI can reach everyone in the community. Our mission is to improve our customers' competency by automating and optimizing their AI applications.,South Korea,Artificial Intelligence,contact@nota.ai,
NoTraffic,,Israel,,,
NovandSAT,,France,,,
Novenine Inc.,,Japan,,,
Noveto Systems Ltd.,"Noveto is an Israeli company technology company delivering sensory magic, an innovative audio solution that creates sound from ultrasounds, and gives you, the listener a remarkable binaural stereo experience via Smart Beaming technology and our own smart speaker the N1.",Israel,"Artificial Intelligence,Audio Technologies,Family and Lifestyle,Home Office Hardware and Accessories,Smart Home and Appliances",hello@noveto.com,
Noxtak Corp,,United States of America,,,
nthing,"N.THING hopes to feed the world sustainably by leading innovation in agricultural product and service, in the farm-to-table food value chain by decentralized farm solution. N.THING's CUBE and CUBE OS, a modular vertical farm, provides the most optimized eco system for each crop so as to create maximized efficiency, minimized waste.",South Korea,,jessica@nthing.net,
"Ntiz, Inc.",,United States of America,,,
Nu Eyne,"We are a medical R&D company that adopts electroceutical technology to treat chronic diseases, such as dry eye, migraine, glaucoma, tinnitus. We electrically mimic our own body signals that various parts communicate with to instruct our nerves to function better, our tissues to heal faster, and also to inhibit cancer cells to grow.",South Korea,,info@nueyne.com,
NuCurrent,,United States,,sales@nucurrent.com,
Nuheara,,Australia,,,
"NanoFlow X, LLC",,United States of America,,,
"Nanotech Energy, Inc",,United States of America,,,
NANS,,United States of America,,,
Native Voice,,United States of America,,,
Nature's Fynd,,United States of America,"Sustainability,Food Technology",,
Navitas Semiconductor,"Navitas Semiconductor was formed in 2014 to enable a high-speed revolution in power electronics.  Power systems can achieve a dramatic improvement in charging speed, power densities, and cost reduction if high switching frequencies can be combined with high energy efficiencies.",Ireland,,Info@NavitasSemi.com,
Naxa Electronics Inc.,,United States,,,
"NBCUniversal Media, LLC",,United States of America,,,
NepTech,"NepTech is designing a new mode of zero emission, efficient and intelligent naval transport. Our purpose is to develop the mobility solution of tomorrow and have a tremendous impact on the naval industry that needs to move faster from a green and hydrogen perspective.",France,"Energy/Power,Smart Cities and Resilience,Sustainability,Travel and Tourism,Vehicle Tech",contact@neptech.co,
Nesten Networks,,South Korea,,,
NetGear,"For 25 years, NETGEAR has strived to be the innovative leader in connecting the world to the internet. We turn ideas into award-winning networking products that connect people, power businesses, and advance the way we live. Easy to use. Powerful. Smart. And designed just for you.",United States,"5G Technologies,Cybersecurity,Gaming and Esports,Home Office Hardware and Accessories,Mobile Hardware and Accessories",sales@netgear.com,
NetGear,"For 25 years, NETGEAR has strived to be the innovative leader in connecting the world to the internet. We turn ideas into award-winning networking products that connect people, power businesses, and advance the way we live. Easy to use. Powerful. Smart. And designed just for you.",United States,"5G Technologies,Cybersecurity,Gaming and Esports,Home Office Hardware and Accessories,Mobile Hardware and Accessories",sales@netgear.com,
Netherlands Pavillion - Tech Solutions for Global,"Designed to foster collaboration and present groundbreaking tech solutions for global challenges, these trailblazing advancements represent the broader interconnected tech ecosystem that reinforce the Netherlands as an epicenter for forward thinking innovation, while also driving lasting economic, environmental, and social impact.",Netherlands,,,
Netop Industrial Company Limited,,China,,,
Neubility,,South Korea,,,
"pAnAceA Co., Ltd.",,South Korea,AR/VR/XR,info@panacea-korea.com,
Panasonic,"Panasonic is a global leader in technologies and solutions in B2B, automotive, housing, and consumer electronics businesses. Committed to pursuing new value through innovation across divisional lines, the company uses its technologies to create a better life and a better world for its customers.",United States,,,
Panasonic,"Panasonic is a global leader in technologies and solutions in B2B, automotive, housing, and consumer electronics businesses. Committed to pursuing new value through innovation across divisional lines, the company uses its technologies to create a better life and a better world for its customers.",United States,,,
PanaVise Products Inc.,,United States of America,,,
PanaVise Products Inc.,,United States of America,,,
Pangissimo,"Pangissimo is an audio tech company that creates modular Bluetooth speaker systems. We developed SIMO, the world’s first portable surround sound Bluetooth speaker, and put it in the hands of our earliest adopters. We’ve since developed SIMO X, a next-gen product that features enhanced technical architecture and functional design.",United States of America,"Audio Technologies,Home Entertainment Hardware,Startups",brian@pangissimostudio.com,
Papago Inc.,,United States of America,,,
"Para-Coat Technologies, Inc.","Here at Para-Coat Technologies, we specialize in conformal coatings. Conformal coatings form a protective barrier over electronic assembles to protect them against moisture, dust, chemicals, contaminants, salt, fungus, and temperature extremes. We serve a vast variety of industries from Military and Defense to Medical.",United States of America,,,
"Parity Innovations Co., Ltd.",,Japan,"Marketing and Advertising,AR/VR/XR,Digital Health,Gaming and Esports,Video Technologies",info@piq.co.jp,
"Paru Printed Electronincs Co.,Ltd","ParuPE steadily takes Printed Electronics technology to make technology more useful and meaningful. We have 3 core technologies as in house ink, printing process, and product. Our business area is portable heater, printed film heater,  printed high-temperature heater, printed electrode, conductive silver ink and so on.",South Korea,"Family and Lifestyle,Fitness and Wearables,Smart Home and Appliances,Travel and Tourism",lcm@parupe.com,
Pear Suite,"Pear's SaaS platform helps clients improve well-being and reduce healthcare costs through a comprehensive assessment, virtual coaching, and actionable reporting around the social drivers of health.",United States of America,"Digital Health,Startups,Wellness Technologies",info@pearsuite.com,
PeopleFlows BV,,Netherlands,,,
Perfect Corp.,"Perfect Corp., the beauty tech solution provider behind YouCam Makeup, is transforming the consumer beauty experience for customers, beauty brands, and retailers by marrying the highest level of AI, AR, facial recognition, and machine learning technologies to provide hyper-realistic beauty experiences that resonate and drive conversions.",United States,,,
Perigon Health 360,,United States of America,"Artificial Intelligence,Digital Health,Family and Lifestyle,Smart Home and Appliances,Wellness Technologies",info@perigonhealth.org,
"Perrone Robotics, Inc",,United States of America,,,
Personal AI,,United States of America,,,
PharmCADD,PharmCADD is an AI & Physics-based drug  development company in South Korea. Our proprietary technology of AI and quantum physics allows it to reduce development time for new drug discovery. We have two platform technologies for the development of new drugs and therapeutics.,South Korea,"Artificial Intelligence,Digital Health",bd@pharmcadd.com,
Phase One,,United States of America,,,
QuietOn,,Finland,,,
QuiX,QuiX Quantum is a Quantum Computing company. Quantum computing will be used in the future in finance and pharma research market. With our patented technology we offer the largest quantum processor in the market for photonic quantum computing.,Netherlands,Quantum Computing,info@quix.nl,
"RABO, Inc.",,United States of America,"Family and Lifestyle,Startups",info@rabo.cat,
Nuralogix Corporation,"Anura™, a groundbreaking remote contactless health monitoring solution. All it takes is a smartphone video camera and 30 seconds to measure vitals, physical, mental, and cardiovascular disease risks with medical-grade accuracy, based on global research and clinical collaborations.",Canada,"Artificial Intelligence,Digital Health,Fitness and Wearables,Smart Home and Appliances,Wellness Technologies",info@nuralogix.ai,
Nuvilabs,,South Korea,,,
NXP Semiconductors,"NXP Semiconductors enables secure connections for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, NXP is driving innovation in the automotive, industrial & IoT, mobile, and communication infrastructure markets.",Netherlands,,,
Obelab,,South Korea,,,
OBIGO Inc.,,South Korea,,,
Odaptos,"Odaptos is a startup specializing in automated user testing. Through our technology, we can detect human emotions to understand in depth the needs of end-users as well as their behaviors on digital services. We design and market a SaaS product allowing us to carry out user tests in videoconferencing, analyze these interviews, and provide",France,"Marketing and Advertising,Artificial Intelligence,Startups,Video Technologies",contact@odaptos.com,
OE-A (Organic and Printed Electronics Association),,Germany,,,
Oetiker,"Oetiker is a global leader in high-end connecting solutions for the vehicle industry. Our experts in high-quality clamps, rings, straps and quick connectors ranges from powertrain and drivetrain applications to eMobility thermal management and high voltage applications. Operating in more than 25 countries and over 75 years.",United States of America,"Sourcing and Manufacturing,Vehicle Tech",,
Off Global,"OFF Global is the home of Nokia Laptops and Smartwaches.

Off Global is a French company independent of Nokia Corporation, to which the latter delegates the design, production and marketing of Nokia branded laptops and connected watches by a worldwide license agreement.",France,"5G Technologies,Fitness and Wearables,Home Entertainment Hardware,Home Office Hardware and Accessories,IoT/Sensors",contact@off.global,
Officine IADR Srl,"We strive to fuse the best of technological and design innovation into products and services built around you. At the heart of Officine IADR there is a method, key to envision truly innovative projects with a broad and solid range. We incorporate Engineering, Architecture, and Design experiences in our projects.",Italy,,info@officineiadr.com,
Ohmic,"Ohmic is a Montreal based start-up with the goal of unlocking the full potential of headphones. We do this through enabling biometric sensing, user identification, and other features using headphones alone.",Canada,"Fitness and Wearables,Gaming and Esports,IoT/Sensors,Mobile Hardware and Accessories,Wellness Technologies",info@ohmic.ai,
Olive Healthcare Inc.,"Our mission is to help humans live longer and healthier lives through healthcare(Wellness) and early diagnosis(Medical Device) that utilize Discrete Multi-Wavelength Near-Infrared Spectroscopy technology(DMW-NIRS). So we have now bello, digital belly fat scanner and have plan to launch 2 new products measuring fat & muscle in 2021.",South Korea,"Digital Health,Fitness and Wearables,IoT/Sensors,Sustainability,Wellness Technologies",hello@belloeveryday.com,
Neurosonic Technologies Ltd.,,Finland,,,
"NeuTigers, Inc.","NeuTigers is driving groundbreaking Artificial Intelligence (AI) technology to the edge, improving how people and companies manage their health, operate their businesses, and protect their data, applications, and network systems. NeuTigers operates primarily in three verticals: Healthcare (core business), IoT, and Cybersecurity.",United States of America,"Artificial Intelligence,Cybersecurity,Digital Health,IoT/Sensors,Startups",info@neutigers.com,
Neverdark,,Ukraine,,,
Newt,,Israel,,,
Nexight INC,"NexiGo is an American-born brand, built on the core values of innovation, intelligence, integrity, and international cooperation. Prioritizing quality and customer satisfaction, NexiGo makes products and experiences that improve every aspect of our customers’ daily lives, from conference call marathons to adrenaline-fueled gaming sessions",United States of America,"Audio Technologies,Home Office Hardware and Accessories,Smart Home and Appliances,Streaming,Video Technologies",cs@nexigo.com,
Nexperia,"Nexperia is a leading expert in the high-volume production of essential semiconductors, that are required by every electronic design in the world. The company’s extensive portfolio includes diodes, bipolar transistors, ESD protection devices, MOSFETs, GaN FETs and analog & logic ICs. Nexperia ships over 90 billion products annually.",United States,,valerie.holcomb@nexperia.com,
Nextbase Dash Cams,,United Kingdom,"Artificial Intelligence,Vehicle Tech,Video Technologies",,
NextChip,,South Korea,,,
NextMind,,France,,,
NextNav LLC,,United States of America,,,
"NFANT Labs, LLC",,United States of America,,,
Nielson-Kellerman,,United States of America,"Family and Lifestyle,IoT/Sensors,Mobile Hardware and Accessories,Smart Home and Appliances",,
Nikon Inc.,"Nikon specializes in imaging products, optics, automated solutions and precision instruments. For more than 100 years, Nikon has leveraged advanced optical technologies to enhance the lives of customers while delivering the highest quality products and solutions across the photography, imaging and optics industries.",United States,,,
"Ningbo ESPE Industry Co., Ltd.","Ningbo ESPE was established in 2006, engaged in electronic products, such as mobile phone accessories,computer cables,Audio&Video cables and connectors...",China,,info@chinaprodelect.com,
"Ningbo Fulman Vention Import & Export Co., Ltd.","VENTION was established in Sep. 2011, devoting to the fields of audio & video accessories, 3C accessories and network solutions.
With unremitting efforts for years, VENTION has already developed into a leading brand of the industry, ranked the top, serving over ten million customers.",China,"Accessories,High-Tech Retailing/E-Commerce,Home Office Hardware and Accessories,Mobile Hardware and Accessories,Video Technologies",sles-zj@vention.cn,
"Phiar Technologies, Inc.",,United States of America,,,
"Philko International, Inc",,South Korea,"Marketing and Advertising,Accessories",,
PhiNetworks,"For over ten years, we at the PhiNetwork team have been creating golf apps and technology products to help golfers enhance their enjoyment of the game. 
Phigolf is a multi-platform golf game simulator that would allow people to play a round of golf from their own home.",South Korea,"Fitness and Wearables,Home Entertainment Hardware,Smart Home and Appliances,Sports Technology,Wellness Technologies",info@phigolf.com,
Phobio,"Phobio offers user-friendly software and trade-in solutions that work. Whether you’re looking to drive new device sales, offer green-friendly options like device recycling, or attract customers to your ecosystem, Phobio can make it happen.",United States,,info@phobio.com,
Moontech Electronics,,"Hong Kong, SAR China",,,
Morai Inc.,MORAI Inc. is a South Korean company applying simulation technologies and tools to autonomous driving for AV testing and verification. MORAI's simulation platform allows engineers and developers to test the functional safety and performance of their systems before deployment on public roads.,South Korea,"Artificial Intelligence,Robotics,Smart Cities and Resilience,Startups,Vehicle Tech",contact@morai.ai,
Morari Medical,"Morari Medical has developed a chemical-free wearable patch for the treatment of premature ejaculation (PE).  PE is the most prevalent male sexual dysfunction, estimated to affect 30% of men worldwide.  With a higher incidence than erectile dysfunction (ED) or an enlarged prostate, PE represents a large global market opportunity.",United States,"Digital Health,Family and Lifestyle,Fitness and Wearables,Startups,Wellness Technologies",jbennett@morarimedical.com,
Moroccan Tech Pavilion,,Morocco,"Artificial Intelligence,Drones,IoT/Sensors,Smart Cities and Resilience,Startups",,
Morphee,,France,,,
Morphotonics,"We manufacture high precision Roll-to-Plate equipment using a revolutionary nanotechnology process enabling micron-nano scale surface structures:
1)to be replicated over extremely large areas, 2)resulting in unprecedented cost reductions, 3)while radically improving product quality for Displays, Solar Panels, and other Deep Tech products.",Netherlands,,info@morphotonics.com,
"Motov Co., Ltd.",Motov is the country’s first Urban Tech business that collects and utilizes a variety of urban space data as well as provides location-based advertisement services by installing smart media devices with IOT sensors in taxi signs for the first time in Korea.,South Korea,"Marketing and Advertising,IoT/Sensors,Smart Cities and Resilience,Startups",globalsales@motov.co.kr,
Motrex,,United States of America,,,
MoveSmarter,,United States of America,"Artificial Intelligence,Digital Health,Fitness and Wearables,Startups",,
Movon Corporation,"MOVON Corporation's business goal is to create and develop products that are enable to lower fatality rate on the road and to save lives. Based on its state-of-the-art computer image processing technologies, MOVON has launched ADAS and DSM successfully so far. Now MOVON is moving to next generation - Radar solution that anyone can use.",South Korea,"Artificial Intelligence,Vehicle Tech,Video Technologies",,
Mozii Group Inc.,,United States of America,"High-Tech Retailing/E-Commerce,Sourcing and Manufacturing,Startups",,
MSI Computer Corp,,United States of America,,,
Mullen Technologies Inc,,United States of America,,,
MultiTech,,United States of America,,,
Murata Electronics,"Leaders in design manufacture & sale of wireless connectivity modules,electronic components, & power conversion technologies committed to the advancement of society and the evolution within the electronics industry. Our innovations are used in various applications for the consumer/industrial markets, from Auto tech to healthcare devices.",United States,,,
Music Care,,France,,,
MuteMe LLC,,United States of America,,,
My Arcade,,United States of America,,,
My Coach,,France,"Education,Fitness and Wearables,Sports Technology,Wellness Technologies",,
MyElixa,Our vision is to support families to improve the life quality of their seniors keeping their independence. MyElixa offers stylish products and real time services designed for seniors and thought to give the “peace of mind” to family members. The first product is MyElixa Hydration band. This smart band can be wrapped to any glass or bottle,Switzerland,"Digital Health,Family and Lifestyle,Smart Home and Appliances,Sports Technology,Wellness Technologies",info@myelixa.com,
Myhixel,,Spain,"Startups,Wellness Technologies",,
My-own-voice,,France,,,
Mytonomy,,United States of America,,,
NAGRA,,United States,,info@nagra.com,
NAGRA,,United States,,info@nagra.com,
Naio Technologies,,France,"Artificial Intelligence,Robotics,Startups,Sustainability,Food Technology",,
Nami,"nami is a new Artificial Intelligence of Things startup based in Singapore that aims to bring peace of mind to home occupants through digital monitoring. Our AI sensing devices are backed by discerning machine learning algorithms, eschewing the risk and invasion of privacy that live feeds and recordings from indoor security cameras.",Singapore,"Artificial Intelligence,Energy/Power,Family and Lifestyle,IoT/Sensors,Wellness Technologies",info@nami.ai,
"Namutech Co., Ltd.","NAMUTECH is a cloud expert leading customer's smart digital transformation through services across the cloud, virtualization, big data, AI, and smart cities. NAMUTECH is launching the Smart DX Solution for a full-stack digital transformation innovation. (Smart Cloud, Smart Big Data, Smart AI, Smart City)",South Korea,"5G Technologies,Artificial Intelligence,Cloud Computing/Data,Fintech,Smart Cities and Resilience",sales@namutech.co.kr,
Nanaba SAS,,France,,,
Nanit,Nanit is on a mission to support the journey of parenting and is the only product that provides a real-time support system bringing you closer to your child’s development. The Nanit family of products keep parents connected and informed while providing personalized insights and guidance to support their baby’s sleep and well-being.,United States of America,"Artificial Intelligence,Family and Lifestyle,Smart Home and Appliances,Startups,Wellness Technologies",marketing@nanit.com,
Olive Union,"Olive Union, a company that provides hearing enhancement solutions with a mission to get rid of the social stigma around hearing loss and transform the hearing aid market.
Our vision is “to make hearing aids just like glasses” - stylish, easily accessible, and low cost. best of the wearblale@CES",Japan,,,
OmniPad Company,,United States of America,,,
OmniVision Technologies,,United States of America,,,
OmniVision Technologies,,United States of America,,,
Omolle Inc.,"Omolle, established in 2018, started to develop fitness content services. 

Omolle provides experiences of working out together although you exercise alone at home. 

MATIV is the name of its connected fitness service, and consists of a smart mat, a smart band, a mobile application, and virtual fitness classes.",South Korea,"Entertainment and Content,Fitness and Wearables,Home Entertainment Hardware,Sports Technology,Wellness Technologies",biz@omolle.com,
"Omron Healthcare, Inc.","OMRON Healthcare is transforming global heart health with innovations that set new standards. We introduced the first wearable blood pressure monitor, our first digital health service app, the first blood pressure monitor with EKG in a single device & VitalSight™, our first Remote Patient Monitoring Program for blood pressure management.",United States,"Digital Health,Fitness and Wearables,Wellness Technologies",,
Onanoff,"ONANOFF is an Icelandic originated audio company that creates award-winning audio products that meet a wide range of listening needs. We are best known for initiating and advancing the kids audio category by creating the BuddyPhones brand, the world’s leading kids’ headphones which will always be kid-safe, kid-proof and kid-friendly.",United States,,,
OneLife Inc.,"Absolutely silent, fully automatic air purification technology, engineered in Germany to save lives and protect the planet. Created by a team of ambitious engineers, air quality experts and millennial pioneers to make the world a healthier place.",Germany,,hello@onelife.eco,
Onera B.V.,Onera Health is a leader in transforming sleep medicine and remote monitoring.,Netherlands,,info@onerahealth.com,
OneRail,"OneRail solves last mile delivery logistics more comprehensively than any other offering in the space, with a 4-in-1 approach. Between its massive national courier network, its API-driven smart-matching platform and its 24/7 exceptions management team, OneRail combines technology with the human touch to streamline last mile workflow.",United States of America,"Drones,High-Tech Retailing/E-Commerce,Startups",info@onerai.io,
OnStar,,United States of America,,,
"Ooma, Inc.","Ooma (NYSE: OOMA) creates powerful connected experiences for businesses and consumers, delivered from its smart cloud-based SaaS platform. For consumers, Ooma’s residential phone service provides PureVoice HD voice quality, advanced functionality and integration with mobile devices.",United States of America,"Home Office Hardware and Accessories,Smart Home and Appliances",info@ooma.com,
Oorym Optics LTD,"Oorym is working on making Augmented Reality a reality. Oorym is developing and fabricating next-generation near-to-eye displays.  With high efficiency, supereb performance, slim design, and low manufacturing costs, Oorym's innovative technology will revolutionize the way consumers are experiencing augmented reality wearable devices.",Israel,"AR/VR/XR,Startups",,
Opsys Tech Ltd.,"Opsys Pure Solid State Micro-Flash Scanning LiDAR based on addressable VCSEL array - SPAD receiver & NO moving parts enables true, real-time, 4D camera, operating in full automotive environment, meets automotive reliability requirements, provides best-in-class performance & delivers the best value to auto manufacturers and consumers",Israel,"Robotics,Smart Cities and Resilience,Startups,Vehicle Tech",,
"Opteev Technologies, Inc",Health Technology Manufacturer,United States of America,"Digital Health,Wellness Technologies",info@opteev.com,
Optimal Design,"Optimal Design is a product development firm and strategic consultancy that brings innovative products to organizations seeking new technologies, marketplace expertise, collaborative leadership, and unleashed innovation.",United States,"5G Technologies,Fitness and Wearables,IoT/Sensors,Mobile Hardware and Accessories,Smart Home and Appliances",info@optimaldesignco.com,
OQmented GmbH,,Germany,,,
Oracle,,United States of America,,,
Orbisk,,Netherlands,,,
OrCam Technologies,,United States of America,"Accessibility,Fitness and Wearables,Wellness Technologies",,
Orient Development Enterprises Ltd.,"We design and manufacture innovative automotive infotainment products such as the world's first portable CarPlay/Android Auto System, and Intelligent dashcams. We provide OEM/ODM service worldwide for vehicle electronic products, voice translators, and our designs.",Taiwan,"Accessories,Artificial Intelligence,Startups,Travel and Tourism,Vehicle Tech",sales@tfvcsh.com,
Origin Wireless AI,"We deliver advanced wireless AI technologies for endless everyday applications. Our core product lines utilize WiFi sensing for breathing/sleep monitoring, motion, and fall detection solutions for consumer and commercial services. Use-cases range from security monitoring and asset tracking to senior wellbeing monitoring without wearables.",United States,,,
Orioma,,France,,,
Orka,,France,"Smart Home and Appliances,Food Technology",,
Orqa FPV,,Croatia,,,
Ossia Inc.,"Ossia is leading the world on what is possible with wireless power. Ossia’s flagship Cota® technology redefines wireless power by safely delivering remote, targeted energy to devices at a distance. Ossia’s Cota technology is a patented smart antenna technology that automatically keeps multiple devices charged without user intervention.",United States of America,,info@ossia.com,
OTODO SAS,Otodo proposes to service providers a white label platform to enable these companies to launch their own universal Smart Home offer.,France,"IoT/Sensors,Smart Home and Appliances",contact@otodo.com,
Ottonomy,Ottonomy enables contactless deliveries using a fleet of autonomous robots. The primary focus is on helping retailers & restaurants reduce dependence on 3rd party delivery services & simultaneously enhance the customer experience. Ottonomy was recognized as among the top 50 robotics companies worldwide in 2021 by Robotics Business Review,United States,Robotics,deepak.gupta@ottonomy.io,
Ottopia,,Israel,,,
Ouba,,France,,,
Midwest Trading Group,"Midwest Trading Group, Inc. (“Midwest”) together with its sister companies and international partners, is an emerging leader in the manufacturing, importing, distributing, and selling of cellular accessories, electronics, household, kitchen items, personal care products, toys, mobile lighting, and general merchandise.",United States,,info@mtradinggroup.com,
"MIJ Co., Ltd.","MIJ is a company that develops digital tinnitus care solution ""CARE4EAR"" app and ""TC2"" (tinnitus care headset) the treatment strategies that offer individuals as self-help telemedicine  with professional guidance. 
Company promise  to provide a best in the class digital healthcare product that can be truly helpful to tinnitus patients.",South Korea,"Artificial Intelligence,Digital Health,Fitness and Wearables,Mobile Hardware and Accessories,Wellness Technologies",mijkorea@mijkorea.com,
Militti Sales & Promotions,"Militti Sales & Promotions, LLC is a direct importer, distributor, and wholesaler.  We are the source for fast selling retail ready cell phone accessories and tech products.",United States of America,"Accessories,Mobile Hardware and Accessories",,
Mimi Hearing Technologies,"Founded in 2014 in Berlin, Mimi Hearing Technologies is the world’s leading provider of digital hearing tests and hearing-ability-based sound personalization. Mimi was founded with the aim of giving the listeners the best possible hearing experience, with the mission to create a world where hearing is no longer a barrier.",Germany,"Accessibility,Audio Technologies,Digital Health,Entertainment and Content,Startups",info@mimi.io,
Mimiq,,United States of America,,,
Mindtech Global,,United Kingdom,,,
MINE,,,South Korea,"Artificial Intelligence,Digital Health,Startups,Wellness Technologies",official@mine-innerchild.com
Mirai Scien Co. Ltd.,,Japan,,,
Mirametrix Inc.,,Canada,,,
MirrorRoid,,South Korea,,,
Misty Robotics,"Misty Robotics, Inc., the company behind Misty II, the first professional-grade platform robot, is changing the way the robotics market works.  We are enabling developers and their companies and institutions to build for and accelerate the opportunity for robots to do useful things in business, home, healthcare, and educational use.",United States,,info@mistyrobotics.com,
Mitsubishi Electric Corporation,"Mitsubishi Electric is one of the world's leading names in electrical and electronic solutions used in a broad range of applications. For 100 years, Mitsubishi Electric has made changes for the better through its energy-efficient technologies and will continue to contribute to the realization of a vibrant and sustainable society for all.",United States of America,"5G Technologies,Energy/Power,Smart Cities and Resilience,Sustainability,Vehicle Tech",,
Mitsui Chemicals Europe GmbH,,Germany,,,
"Mitsui Fudosan Residential Co., Ltd.",,Japan,,,
Miw Tech International,"Whether you’re on a hiking adventure or fixing up your home. We’ve reimagined the flashlight, redefining what is possible. We’ve thought of everything so we can bring you the ultimate flashlight for today’s demanding world.",Jordan,"Accessories,Family and Lifestyle,Fitness and Wearables,Mobile Hardware and Accessories,Sports Technology",info@jordilight.com,
Mizco,,United States of America,,,
Mizco,,United States of America,,,
"MOAIS, Inc.",,South Korea,,,
"Mobile Pixels, Inc.",,United States of America,,,
"Mobileye, an Intel Company","Mobileye is leading the mobility revolution with its autonomous-driving and driver-assist technologies, harnessing world-renowned expertise in computer vision, machine learning, mapping, and data analysis.",Israel,"Artificial Intelligence,Vehicle Tech",,
"MobilTech Co., Ltd.","MOBILTECH is AI-based 3D GIS startup. We collect, manufacture, process data, and develop an
autonomous driving system for smart city, autonomous driving industry. Also, we provide high
precise digital twin data and HD map with Localization SW to new mobilities around the world.",South Korea,"Artificial Intelligence,Robotics,Smart Cities and Resilience,Startups,Vehicle Tech",,
Mobix Labs,,United States of America,,,
Moen Inc.,"As the leader in smart water technology, Moen gives homeowners an unmatched ability to manage their home’s water with its revolutionary Smart Water Network. This groundbreaking network of smart water products gives homeowners the ability to control, monitor and conserve their water unlike ever before, all through one streamlined app.",United States,"Family and Lifestyle,Smart Home and Appliances",,
