NAME_OF_ITEM,TYPE_OF_ITEM,RARITY,TIER,GEAR_SCORE
Vacant Corrupted Insignia,Resource,Uncommon,None,
Vial of Corrupted Ichor,Resource,Uncommon,None,
Drop of Corrupted Ichor,Resource,Uncommon,None,
Drop of Corrupted Essence,Resource,Uncommon,None,
Vial of Corrupted Essence,Resource,Uncommon,None,
Patch of Corrupted Cloth,Resource,Uncommon,None,
Bolt of Corrupted Cloth,Resource,Uncommon,None,
Large Boar  Hoof,Resource,Uncommon,None,
Chunk of Consecrated Iron,Resource,Uncommon,None,
Small Boar Hoof,Resource,Uncommon,None,
Chunk of Cobalt,Resource,Uncommon,None,
Thread of Corrupted Cloth,Resource,Uncommon,None,
Shard of Consecrated Iron,Resource,Uncommon,None,
Sliver of Consecrated Iron,Resource,Uncommon,None,
Ancient Bear Paw,Resource,Uncommon,None,
Large Bear Paw,Resource,Uncommon,None,
Massive Bear Paw,Resource,Uncommon,None,
Chunk of Batrachite,Resource,Uncommon,None,
Shard of Batrachite,Resource,Uncommon,None,
Chunk of Baetylus,Resource,Uncommon,None,
Sliver of Batrachite,Resource,Uncommon,None,
Shard of Baetylus,Resource,Uncommon,None,
Sliver of Baetylus,Resource,Uncommon,None,
Draught of Azoth Oil,Resource,Uncommon,None,
Drop of Azoth Oil,Resource,Uncommon,None,
Draught of Azalea Nectar,Resource,Uncommon,None,
Vial of Azoth Oil,Resource,Uncommon,None,
Vial of Azalea Nectar,Resource,Uncommon,None,
Drop of Azalea Nectar,Resource,Uncommon,None,
Armor Fragments,Resource,Uncommon,None,
Armor Scraps,Resource,Uncommon,None,
Armor Shards,Resource,Uncommon,None,
Orichalcum Armorer's Charm,Resource,Uncommon,None,
Steel Arcanist's Charm,Resource,Uncommon,None,
Steel Armorer's Charm,Resource,Uncommon,None,
Starmetal Armorer's Charm,Resource,Uncommon,None,
Orichalcum Arcanist's Charm,Resource,Uncommon,None,
Starmetal Arcanist's Charm,Resource,Uncommon,None,
Brilliant Animus,Resource,Uncommon,None,
Shining Animus,Resource,Uncommon,None,
Sliver of Adderstone,Resource,Uncommon,None,
Shimmering Animus,Resource,Uncommon,None,
Draught of Ancient Essence,Resource,Uncommon,None,
Vial of Ancient Essence,Resource,Uncommon,None,
Drop of Ancient Essence,Resource,Uncommon,None,
Chunk of Adamant,Resource,Uncommon,None,
Chunk of Adderstone,Resource,Uncommon,None,
Shard of Adderstone,Resource,Uncommon,None,
Cut Ruby,Resource,Uncommon,Tier III,
Cut Flawed Ruby,Resource,Common,Tier II,
Flawed Ruby,Resource,Common,Tier II,
Ruby,Resource,Uncommon,Tier III,
Pristine Ruby,Resource,Epic,Tier V,
Brilliant Ruby,Resource,Rare,Tier IV,
Cut Brilliant Pearl,Resource,Rare,Tier IV,
Cut Pristine Pearl,Resource,Epic,Tier V,
Cut Pearl,Resource,Uncommon,Tier III,
Cut Pristine Opal,Resource,Epic,Tier V,
Pearl,Resource,Uncommon,Tier III,
Cut Flawed Pearl,Resource,Common,Tier II,
Brilliant Pearl,Resource,Rare,Tier IV,
Pristine Pearl,Resource,Epic,Tier V,
Cut Malachite,Resource,Uncommon,Tier III,
Cut Brilliant Opal,Resource,Rare,Tier IV,
Flawed Pearl,Resource,Common,Tier II,
Cut Opal,Resource,Uncommon,Tier III,
Cut Flawed Opal,Resource,Common,Tier II,
Brilliant Opal,Resource,Rare,Tier IV,
Pristine Opal,Resource,Epic,Tier V,
Cut Flawed Malachite,Resource,Common,Tier II,
Pristine Malachite,Resource,Epic,Tier V,
Brilliant Malachite,Resource,Rare,Tier IV,
Malachite,Resource,Uncommon,Tier III,
Flawed Malachite,Resource,Common,Tier II,
Cut Pristine Lapis Lazuli,Resource,Epic,Tier V,
Cut Brilliant Lapis Lazuli,Resource,Rare,Tier IV,
Cut Lapis Lazuli,Resource,Uncommon,Tier III,
Cut Flawed Lapis Lazuli,Resource,Common,Tier II,
Pristine Lapis Lazuli,Resource,Epic,Tier V,
Brilliant Lapis Lazuli,Resource,Rare,Tier IV,
Lapis Lazuli,Resource,Uncommon,Tier III,
Flawed Lapis Lazuli,Resource,Common,Tier II,
Cut Flawed Jasper,Resource,Common,Tier II,
Cut Pristine Jasper,Resource,Epic,Tier V,
Cut Brilliant Jasper,Resource,Rare,Tier IV,
Cut Jasper,Resource,Uncommon,Tier III,
Pristine Jasper,Resource,Epic,Tier V,
Brilliant Jasper,Resource,Rare,Tier IV,
Jasper,Resource,Uncommon,Tier III,
Flawed Jasper,Resource,Common,Tier II,
Cut Pristine Jade,Resource,Epic,Tier V,
Cut Jade,Resource,Uncommon,Tier III,
Cut Brilliant Jade,Resource,Rare,Tier IV,
Pristine Jade,Resource,Epic,Tier V,
Cut Flawed Jade,Resource,Common,Tier II,
Flawed Jade,Resource,Common,Tier II,
Brilliant Jade,Resource,Rare,Tier IV,
Cut Pristine Diamond,Resource,Epic,Tier V,
Jade,Resource,Uncommon,Tier III,
Cut Brilliant Diamond,Resource,Rare,Tier IV,
Cut Pristine Garnet,Resource,Epic,Tier V,
Cut Diamond,Resource,Uncommon,Tier III,
Cut Flawed Diamond,Resource,Common,Tier II,
Pristine Diamond,Resource,Epic,Tier V,
Cut Brilliant Citrine,Resource,Rare,Tier IV,
Brilliant Diamond,Resource,Rare,Tier IV,
Flawed Diamond,Resource,Common,Tier II,
Cut Pristine Citrine,Resource,Epic,Tier V,
Diamond,Resource,Uncommon,Tier III,
Cut Citrine,Resource,Uncommon,Tier III,
Pristine Citrine,Resource,Epic,Tier V,
Cut Carnelian,Resource,Uncommon,Tier III,
Cut Flawed Citrine,Resource,Common,Tier II,
Brilliant Citrine,Resource,Rare,Tier IV,
Citrine,Resource,Uncommon,Tier III,
Flawed Citrine,Resource,Common,Tier II,
Cut Pristine Carnelian,Resource,Epic,Tier V,
Cut Brilliant Carnelian,Resource,Rare,Tier IV,
Carnelian,Resource,Uncommon,Tier III,
Cut Flawed Carnelian,Resource,Common,Tier II,
Pristine Carnelian,Resource,Epic,Tier V,
Brilliant Carnelian,Resource,Rare,Tier IV,
Flawed Carnelian,Resource,Common,Tier II,
Cut Flawed Aquamarine,Resource,Common,Tier II,
Cut Pristine Aquamarine,Resource,Epic,Tier V,
Cut Brilliant Aquamarine,Resource,Rare,Tier IV,
Cut Aquamarine,Resource,Uncommon,Tier III,
Pristine Aquamarine,Resource,Epic,Tier V,
Brilliant Aquamarine,Resource,Rare,Tier IV,
Blue-Winged Serpe,Resource,Legendary,Tier V,
Horned-Tooth Mandje,Resource,Legendary,Tier V,
Cut Pristine Amethyst,Resource,Epic,Tier V,
Daemonaja,Resource,Legendary,Tier V,
Aquamarine,Resource,Uncommon,Tier III,
Flawed Aquamarine,Resource,Common,Tier II,
Egede Serpe,Resource,Legendary,Tier V,
Blue-blooded Barb,Resource,Legendary,Tier V,
Seaweed,Resource,Common,Tier I,
Cut Brilliant Amethyst,Resource,Rare,Tier IV,
Varanus Mandje,Resource,Legendary,Tier V,
Ray-Finned Barb,Resource,Legendary,Tier V,
Glowing Gnufish,Resource,Legendary,Tier V,
Glowing Guardfish,Resource,Legendary,Tier V,
Aquanaja,Resource,Legendary,Tier V,
Large Swordfish,Resource,Rare,Tier IV,
Albenaja,Resource,Legendary,Tier V,
Mandje Mandje,Resource,Legendary,Tier V,
Lava Barb,Resource,Legendary,Tier V,
Abaia Serpe,Resource,Legendary,Tier V,
Small Swordfish,Resource,Rare,Tier IV,
Medium Swordfish,Resource,Rare,Tier IV,
Large Stingray,Resource,Rare,Tier IV,
Large Sculpin,Resource,Rare,Tier IV,
Medium Sculpin,Resource,Rare,Tier IV,
Oyster,Resource,Rare,Tier IV,
Large Frogfish,Resource,Rare,Tier IV,
Large Dragon Fish,Resource,Rare,Tier IV,
Small Sculpin,Resource,Rare,Tier IV,
Medium Stingray,Resource,Rare,Tier IV,
Starfish,Resource,Rare,Tier IV,
Small Dragon Fish,Resource,Rare,Tier IV,
Small Stingray,Resource,Rare,Tier IV,
Clam,Resource,Uncommon,Tier III,
Medium Dragon Fish,Resource,Rare,Tier IV,
Large Halibut,Resource,Uncommon,Tier III,
Small Squid,Resource,Uncommon,Tier III,
Large Cod,Resource,Uncommon,Tier III,
Large Catfish,Resource,Uncommon,Tier III,
Small Halibut,Resource,Uncommon,Tier III,
Medium Halibut,Resource,Uncommon,Tier III,
Tadpole,Resource,Uncommon,Tier III,
Medium Cod,Resource,Uncommon,Tier III,
Small Cod,Resource,Uncommon,Tier III,
Aquatic Snail,Resource,Uncommon,Tier III,
Large Sturgeon,Resource,Uncommon,Tier III,
Medium Catfish,Resource,Uncommon,Tier III,
Small Catfish,Resource,Uncommon,Tier III,
Large Bluefish,Resource,Common,Tier II,
Medium Sturgeon,Resource,Uncommon,Tier III,
Large Flounder,Resource,Common,Tier II,
Small Sturgeon,Resource,Uncommon,Tier III,
Medium Hake,Resource,Common,Tier II,
Medium Bluefish,Resource,Common,Tier II,
Large Hake,Resource,Common,Tier II,
Small Hake,Resource,Common,Tier II,
Small Bluefish,Resource,Common,Tier II,
Large Snapper,Resource,Common,Tier II,
Small Flounder,Resource,Common,Tier II,
Large Mackerel,Resource,Common,Tier II,
Small Snapper,Resource,Common,Tier II,
Small Bass,Resource,Common,Tier II,
Medium Snapper,Resource,Common,Tier II,
Small Mackerel,Resource,Common,Tier II,
Medium Mackerel,Resource,Common,Tier II,
Canned Fish Stockpile,Resource,Common,None,
Medium Flounder,Resource,Common,Tier II,
Carb Stockpile,Resource,Common,None,
Medium Bass,Resource,Common,Tier II,
Baking Stockpile,Resource,Common,None,
Cereal Stockpile,Resource,Common,None,
Meat Stockpile,Resource,Common,None,
Fruit Stockpile,Resource,Common,None,
Condiment Stockpile,Resource,Common,None,
Vegetable Stockpile,Resource,Common,None,
Spice Stockpile,Resource,Common,None,
Perennial Herb Stockpile,Resource,Common,None,
Condiment Supplies,Resource,Common,None,
Canned Fish Supplies,Resource,Common,None,
Carb Supplies,Resource,Common,None,
Fruit Supplies,Resource,Common,None,
Luxury Supplies,Resource,Common,None,
Exotic Herb Supplies,Resource,Common,None,
Dairy Supplies,Resource,Common,None,
Cereal Supplies,Resource,Common,None,
Canned Fish Provisions,Resource,Common,None,
Meat Provisions,Resource,Common,None,
Vegetable Supplies,Resource,Common,None,
Quality Meat Supplies,Resource,Common,None,
Baking Provisions,Resource,Common,None,
Spice Provisions,Resource,Common,None,
Condiment Provisions,Resource,Common,None,
Exotic Herb Provisions,Resource,Common,None,
Perennial Herb Provisions,Resource,Common,None,
Salted Fish Provisions,Resource,Common,None,
Yoghurt Provisions,Resource,Common,None,
Carb Rations,Resource,Common,None,
Flavored Pork Provisions,Resource,Common,None,
Flavored Fish Rations,Resource,Common,None,
Herb Rations,Resource,Common,None,
Set of Stout Steel Armor,Resource,Common,None,
Set of Toughened Steel Armor,Resource,Common,None,
Set of Impenetrable Iron Armor,Resource,Common,None,
Set of Unyielding Iron Armor,Resource,Common,None,
Set of Rugged Steel Armor,Resource,Common,None,
Set of Stalwart Iron Armor,Resource,Common,None,
Set of Hardened Iron Armor,Resource,Common,None,
Set of Stout Iron Armor,Resource,Common,None,
Set of Toughened Iron Armor,Resource,Common,None,
Set of Rugged Iron Armor,Resource,Common,None,
Set of Impenetrable Crude Iron Armor,Resource,Common,None,
Set of Unyielding Crude Iron Armor,Resource,Common,None,
Set of Toughened Crude Iron Armor,Resource,Common,None,
Set of Stalwart Crude Iron Armor,Resource,Common,None,
Set of Rugged Crude Iron Armor,Resource,Common,None,
Pillaging Starmetal Armaments,Resource,Common,None,
Reaving Starmetal Armaments,Resource,Common,None,
Set of Hardened Crude Iron Armor,Resource,Common,None,
Set of Stout Crude Iron Armor,Resource,Common,None,
Gashing Starmetal Armaments,Resource,Common,None,
Ransacking Starmetal Armaments,Resource,Common,None,
Crushing Starmetal Armaments,Resource,Common,None,
Impaling Starmetal Armaments,Resource,Common,None,
Bruising Starmetal Armaments,Resource,Common,None,
Cleaving Starmetal Armaments,Resource,Common,None,
Bruising Iron Armaments,Resource,Common,None,
Pillaging Starmetal Armaments,Resource,Common,None,
Bulwark Starmetal Armaments,Resource,Common,None,
Plundering Starmetal Armaments,Resource,Common,None,
Bulwark Iron Armaments,Resource,Common,None,
Plundering Iron Armaments,Resource,Common,None,
Gashing Crude Iron Armaments,Resource,Common,None,
Cleaving Crude Iron Armaments,Resource,Common,None,
Bruising Crude Iron Armaments,Resource,Common,None,
Impaling Crude Iron Armaments,Resource,Common,None,
Bulwark Crude Iron Armaments,Resource,Common,None,
Impaling Iron Armaments,Resource,Common,None,
Plundering Crude Iron Armaments,Resource,Common,None,
Premium Compass,Resource,Common,None,
Advanced Compass,Resource,Common,None,
Basic Compass,Resource,Common,None,
Orichalcum Sewing Needles,Resource,Common,None,
Pillaging Crude Iron Armaments,Resource,Common,None,
Starmetal Sewing Needles,Resource,Common,None,
Steel Sewing Needles,Resource,Common,None,
Iron Sewing Needles,Resource,Common,None,
Reaving Crude Iron Armaments,Resource,Common,None,
Ransacking Crude Iron Armaments,Resource,Common,None,
Crushing Crude Iron Armaments,Resource,Common,None,
Advanced Precision Tools,Resource,Common,None,
Standard Precision Tools,Resource,Common,None,
Basic Precision Tools,Resource,Common,None,
Basic Practice Dummy,Resource,Common,None,
Orichalcum Nails,Resource,Common,None,
Premium Practice Dummy,Resource,Common,None,
Starmetal Nails,Resource,Common,None,
Advanced Practice Dummy,Resource,Common,None,
Steel Nails,Resource,Common,None,
Iron Nails,Resource,Common,None,
Premium Measuring Vessel,Resource,Common,None,
Standard Measuring Vessel,Resource,Common,None,
Standard Practice Dummy,Resource,Common,None,
Basic Measuring Vessel,Resource,Common,None,
Premium Dispelling Kit,Resource,Common,None,
Advanced Dispelling Kit,Resource,Common,None,
Basic Dispelling Kit,Resource,Common,None,
Premium First Aid Supplies,Resource,Common,None,
Advanced First Aid Supplies,Resource,Common,None,
Standard First Aid Supplies,Resource,Common,None,
Basic First Aid Supplies,Resource,Common,None,
Royal Party Spread,Resource,Common,None,
Opulent Party Spread,Resource,Common,None,
Fancy Party Spread,Resource,Common,None,
Simple Party Spread,Resource,Common,None,
Aged Brew Keg,Resource,Common,None,
Large Brew Keg,Resource,Common,None,
Brew Keg,Resource,Common,None,
Pony Keg,Resource,Common,None,
Royal Hors d'Oeuvres,Resource,Common,None,
Opulent Hors d'Oeuvres,Resource,Common,None,
Fancy Hors d'Oeuvres,Resource,Common,None,
Simple Hors d'Oeuvres,Resource,Common,None,
Hearty Worker's Rations,Resource,Common,None,
Premium Worker's Rations,Resource,Common,None,
Satisfying Worker's Rations,Resource,Common,None,
Basic Worker's Rations,Resource,Common,None,
Sticky Vines,Resource,Uncommon,None,
Metallic Boneweave,Resource,Uncommon,None,
Putrid Bark,Resource,Uncommon,None,
Vial of Corrupted Mutagen,Resource,Uncommon,None,
Vial of Ancient Mutagen,Resource,Uncommon,None,
Corrupted Priest's Medallion,Resource,Uncommon,None,
Corrupted Commander's Insignia,Resource,Uncommon,None,
Cracked Staff Crystal,Resource,Uncommon,None,
Thorpe's Requiem,Resource,Uncommon,None,
Putrid Wing Talon,Resource,Uncommon,None,
Crystalline Wing Talon,Resource,Uncommon,None,
Slimy Wing Talon,Resource,Uncommon,None,
Putrid Spider Fang,Resource,Uncommon,None,
Ectoplasmic Spider Fang,Resource,Uncommon,None,
Calcified Spider Fang,Resource,Uncommon,None,
Corrupted Spider Fang,Resource,Uncommon,None,
Corrupted Animus,Resource,Uncommon,None,
Humming Animus,Resource,Uncommon,None,
Advanced Measuring Vessel,Resource,Common,None,
Putrid Naga Scales,Resource,Uncommon,None,
Ectoplasmic Naga Scales,Resource,Uncommon,None,
Calcified Naga Scales,Resource,Uncommon,None,
Jade Talisman,Resource,Uncommon,None,
Corrupted Naga Scales,Resource,Uncommon,None,
Warbling Conch,Resource,Uncommon,None,
Lock of Isabella's Hair,Resource,Uncommon,None,
Orichalcum Pocketwatch,Resource,Uncommon,None,
Isabella's Bracelet,Resource,Uncommon,None,
Starmetal Pocketwatch,Resource,Uncommon,None,
Steel Pocketwatch,Resource,Uncommon,None,
Ancient Platinum Talisman,Resource,Uncommon,None,
Vial of Dryad Sap,Resource,Uncommon,None,
Living Dryad Vine,Resource,Uncommon,None,
Iron Pocketwatch,Resource,Uncommon,None,
Large Dryad Vine,Resource,Uncommon,None,
Dried Dryad Sap,Resource,Uncommon,None,
Premium Precision Tools,Resource,Common,None,
Dead Dryad Vine,Resource,Uncommon,None,
Young Dryad Vine,Resource,Uncommon,None,
Ancient Animal Bone,Resource,Uncommon,None,
Large Animal Bone,Resource,Uncommon,None,
Strong Animal Bone,Resource,Uncommon,None,
Orichalcum Structural Braces,Resource,Common,None,
Large Quartz Crystal,Resource,Uncommon,None,
Powerful Quartz Crystal,Resource,Uncommon,None,
Charged Quartz Crystal,Resource,Uncommon,None,
Vial of Powerful Energy,Resource,Uncommon,None,
Small Animal Bone,Resource,Uncommon,None,
Small Quartz Crystal,Resource,Uncommon,None,
Vial of Pulsing Energy,Resource,Uncommon,None,
Infused Leather Corrupted Fetish,Resource,Uncommon,None,
Vial of Swirling Energy,Resource,Uncommon,None,
Layered Leather Corrupted Fetish,Resource,Uncommon,None,
Vial of Wispy Energy,Resource,Uncommon,None,
Rugged Leather Corrupted Fetish,Resource,Uncommon,None,
Standard Dispelling Kit,Resource,Common,None,
Runic Dryad Bark,Resource,Uncommon,None,
Etched Dryad Bark,Resource,Uncommon,None,
Carved Dryad Bark,Resource,Uncommon,None,
Ancient Encrusted Totem,Resource,Uncommon,None,
Ancient Inscribed Totem,Resource,Uncommon,None,
Dryad Bark,Resource,Uncommon,None,
Rough Leather Corrupted Fetish,Resource,Uncommon,None,
Ancient Bone Totem,Resource,Uncommon,None,
Ancient Beaded Totem,Resource,Uncommon,None,
Orichalcum Corrupted Casing,Resource,Uncommon,None,
Steel Corrupted Casing,Resource,Uncommon,None,
Starmetal Corrupted Casing,Resource,Uncommon,None,
Orichalcum Hook,Resource,Uncommon,None,
Iron Corrupted Casing,Resource,Uncommon,None,
Starmetal Hook,Resource,Uncommon,None,
Platinum Lost Locket,Resource,Uncommon,None,
Gold Lost Locket,Resource,Uncommon,None,
Silver Lost Locket,Resource,Uncommon,None,
Wolf Fang,Resource,Uncommon,None,
Wooden Lost Locket,Resource,Uncommon,None,
Wolf Claw,Resource,Uncommon,None,
Wolf Paw,Resource,Uncommon,None,
Wolf Blood,Resource,Uncommon,None,
Wyrdwood Prayer Beads,Resource,Uncommon,None,
Ironwood Prayer Beads,Resource,Uncommon,None,
Hardwood Prayer Beads,Resource,Uncommon,None,
Orichalcum Guardsman's Insignia,Resource,Uncommon,None,
Starmetal Guardsman's Insignia,Resource,Uncommon,None,
Softwood Prayer Beads,Resource,Uncommon,None,
Steel Guardsman's Insignia,Resource,Uncommon,None,
Infused Silk Arcane Embroidery,Resource,Uncommon,None,
Silk Arcane Embroidery,Resource,Uncommon,None,
Sateen Arcane Embroidery,Resource,Uncommon,None,
Iron Guardsman's Insignia,Resource,Uncommon,None,
Layered Leather Beaded Straps,Resource,Uncommon,None,
Infused Leather Beaded Straps,Resource,Uncommon,None,
Rugged Leather Beaded Straps,Resource,Uncommon,None,
Linen Arcane Embroidery,Resource,Uncommon,None,
Orichalcum Battle Medal,Resource,Uncommon,None,
Starmetal Battle Medal,Resource,Uncommon,None,
Steel Battle Medal,Resource,Uncommon,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Rough Leather Beaded Straps,Resource,Uncommon,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Iron Battle Medal,Resource,Uncommon,None,
Standard Compass,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Cooking Recipe,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Falmea's Wrath Work Order,Resource,Common,None,
Executioner Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Battle's Embrace Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Armorsmithing Work Order,Resource,Common,None,
Battle's Embrace Work Order,Resource,Common,None,
Battle's Embrace Work Order,Resource,Common,None,
Battle's Embrace Work Order,Resource,Common,None,
Shrouded Intent Work Order,Resource,Common,None,
Battle's Embrace Work Order,Resource,Common,None,
Shrouded Intent Work Order,Resource,Common,None,
Shrouded Intent Work Order,Resource,Common,None,
Shrouded Intent Work Order,Resource,Common,None,
Shrouded Intent Work Order,Resource,Common,None,
Protective Wyrd Work Order,Resource,Common,None,
Protective Wyrd Work Order,Resource,Common,None,
Protective Wyrd Work Order,Resource,Common,None,
Protective Wyrd Work Order,Resource,Common,None,
Protective Wyrd Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Weaponsmithing Work Order,Resource,Common,None,
Work Order: Starmetal Compass,Resource,Common,None,
Work Order: Steel Compass,Resource,Common,None,
Work Order: Orichalcum Sewing Needles,Resource,Common,None,
Work Order: Iron Compass,Resource,Common,None,
Work Order: Starmetal Sewing Needles,Resource,Common,None,
Work Order: Orichalcum Compass,Resource,Common,None,
Work Order: Iron Sewing Needles,Resource,Common,None,
Work Order: Steel Sewing Needles,Resource,Common,None,
Orichalcum Precision Tools,Resource,Common,None,
Starmetal Precision Tools,Resource,Common,None,
Steel Precision Tools,Resource,Common,None,
Iron Precision Tools,Resource,Common,None,
Practice Golem,Resource,Common,None,
Advanced Practice Dummy,Resource,Common,None,
Complex Practice Dummy,Resource,Common,None,
Basic Practice Dummy,Resource,Common,None,
Orichalcum Nails,Resource,Common,None,
Starmetal Nails,Resource,Common,None,
Steel Nails,Resource,Common,None,
Work Order: Orichalcum Structural Braces,Resource,Common,None,
Iron Nails,Resource,Common,None,
Work Order: Starmetal Structural Braces,Resource,Common,None,
Work Order: Steel Structural Braces,Resource,Common,None,
Intricate Dispelling Kit,Resource,Common,None,
Advanced Dispelling Kit,Resource,Common,None,
Complex Dispelling Kit,Resource,Common,None,
Basic Dispelling Kit,Resource,Common,None,
Small First Aid Supplies,Resource,Common,None,
Advanced First Aid Supplies,Resource,Common,None,
Large First Aid Supplies,Resource,Common,None,
Basic First Aid Supplies,Resource,Common,None,
Elegant Party Spread,Resource,Common,None,
Large Party Spread,Resource,Common,None,
Small Party Spread,Resource,Common,None,
Basic Party Spread,Resource,Common,None,
Large Keg of Brew,Resource,Common,None,
Small Keg of Brew,Resource,Common,None,
Party Keg of Brew,Resource,Common,None,
Large Appetizer,Resource,Common,None,
Pony Keg of Brew,Resource,Common,None,
Elegant Appetizer,Resource,Common,None,
Small Appetizer,Resource,Common,None,
Basic Appetizer,Resource,Common,None,
Large Worker Rations,Resource,Common,None,
Hearty Worker Rations,Resource,Common,None,
Small Worker Rations,Resource,Common,None,
Basic Worker Rations,Resource,Common,None,
Umbral Shard,Resource,Epic,Tier V,
Azoth Crystal,Resource,Epic,Tier V,
Azoth Shard,Resource,Epic,Tier V,
Umbral Crystal,Resource,Epic,Tier V,
Death Quintessence,Resource,Epic,Tier V,
Water Mote,Resource,Common,Tier II,
Air Essence,Resource,Rare,Tier IV,
Air Wisp,Resource,Uncommon,Tier III,
Fire Essence,Resource,Rare,Tier IV,
Fire Wisp,Resource,Uncommon,Tier III,
Air Mote,Resource,Common,Tier II,
Fire Mote,Resource,Common,Tier II,
Earth Essence,Resource,Rare,Tier IV,
Earth Wisp,Resource,Uncommon,Tier III,
Poison Sac,Resource,Common,Tier V,
Earth Mote,Resource,Common,Tier II,
Piranha Tooth,Resource,Common,Tier V,
Dragon Fish Jaw,Resource,Common,Tier V,
Soulsprout Flower,Resource,Rare,Tier IV,
Soulsprout Leaf,Resource,Uncommon,Tier III,
Shockbulb Flower,Resource,Rare,Tier IV,
Soulsprout Stem,Resource,Common,Tier II,
Shockbulb Leaf,Resource,Uncommon,Tier III,
Shockbulb Stem,Resource,Common,Tier II,
Rivercress Flower,Resource,Rare,Tier IV,
Rivercress Leaf,Resource,Uncommon,Tier III,
Rivercress Stem,Resource,Common,Tier II,
Lifebloom Flower,Resource,Rare,Tier IV,
Lifebloom Leaf,Resource,Uncommon,Tier III,
Lifebloom Stem,Resource,Common,Tier II,
Dragonglory Stem,Resource,Common,Tier II,
Dragonglory Flower,Resource,Rare,Tier IV,
Earthspine Flower,Resource,Rare,Tier IV,
Earthspine Leaf,Resource,Uncommon,Tier III,
Earthspine Stem,Resource,Common,Tier II,
Dragonglory Leaf,Resource,Uncommon,Tier III,
Blightroot Flower,Resource,Rare,Tier IV,
Blightroot Leaf,Resource,Uncommon,Tier III,
Snail Slime,Resource,Uncommon,Tier III,
Halibut Viscera,Resource,Uncommon,Tier III,
Blightroot Stem,Resource,Common,Tier II,
Azoth Water,Resource,Rare,Tier V,
Starfish,Resource,Rare,Tier IV,
Frogfish Tail,Resource,Uncommon,Tier III,
Sculpin Scales,Resource,Uncommon,Tier III,
Catfish Whiskers,Resource,Uncommon,Tier III,
Cod Eye,Resource,Rare,Tier IV,
Paddlefish Gills,Resource,Uncommon,Tier III,
Glowing Mushroom Cap,Resource,Common,Tier II,
Toadstool Fringe,Resource,Uncommon,Tier III,
Mushroom Fins,Resource,Uncommon,Tier III,
Fungal Slime,Resource,Uncommon,Tier III,
Fungal Spores,Resource,Uncommon,Tier III,
Twistcap Spiral,Resource,Common,Tier II,
Suncreeper Tendril,Resource,Common,Tier II,
Bloodspore Bloom,Resource,Common,Tier II,
Shellbed Cap,Resource,Common,Tier II,
Tendrilspine Fibers,Resource,Common,Tier II,
Platecap Flesh,Resource,Common,Tier II,
Tubecap,Resource,Common,Tier II,
Sporebloom Fruit,Resource,Common,Tier II,
Petalcap,Resource,Common,Tier II,
Gillflower Gills,Resource,Common,Tier II,
